,seed,speciation_rate,species_richness,time
178,3,0.001,1706,20.0
179,3,0.001,2001,30.0
180,3,0.001,2234,40.0
181,3,0.001,2425,50.0
182,3,0.001,2601,60.0
183,3,0.001,2721,70.0
184,3,0.001,2854,80.0
185,3,0.001,2883,90.0
186,3,0.001,2935,100.0
187,3,0.001,2977,110.0
188,3,0.001,2978,120.0
189,3,0.001,2960,130.0
190,3,0.001,2937,140.0
191,3,0.001,2948,150.0
192,4,0.0001,674,0.0
193,4,0.0001,883,10.0
194,4,0.0001,999,20.0
195,4,0.0001,1110,30.0
196,4,0.0001,1183,40.0
197,4,0.0001,1229,50.0
198,4,0.0001,1288,60.0
199,4,0.0001,1331,70.0
200,4,0.0001,1366,80.0
201,4,0.0001,1357,90.0
202,4,0.0001,1380,100.0
203,4,0.0001,1384,110.0
204,4,0.0001,1393,120.0
205,4,0.0001,1393,130.0
206,4,0.0001,1377,140.0
207,4,0.0001,1388,150.0
208,4,0.0005,863,0.0
209,4,0.0005,1214,10.0
210,4,0.0005,1461,20.0
211,4,0.0005,1665,30.0
212,4,0.0005,1840,40.0
213,4,0.0005,1921,50.0
214,4,0.0005,2064,60.0
215,4,0.0005,2178,70.0
216,4,0.0005,2273,80.0
217,4,0.0005,2305,90.0
218,4,0.0005,2353,100.0
219,4,0.0005,2389,110.0
220,4,0.0005,2389,120.0
221,4,0.0005,2371,130.0
222,4,0.0005,2318,140.0
223,4,0.0005,2326,150.0
224,4,0.001,954,0.0
225,4,0.001,1369,10.0
226,4,0.001,1679,20.0
227,4,0.001,1968,30.0
228,4,0.001,2186,40.0
229,4,0.001,2335,50.0
230,4,0.001,2505,60.0
231,4,0.001,2654,70.0
232,4,0.001,2794,80.0
233,4,0.001,2884,90.0
234,4,0.001,2938,100.0
235,4,0.001,2960,110.0
236,4,0.001,2969,120.0
237,4,0.001,2949,130.0
238,4,0.001,2881,140.0
239,4,0.001,2889,150.0
240,5,0.0001,701,0.0
241,5,0.0001,869,10.0
242,5,0.0001,991,20.0
243,5,0.0001,1079,30.0
244,5,0.0001,1128,40.0
245,5,0.0001,1204,50.0
246,5,0.0001,1244,60.0
247,5,0.0001,1294,70.0
248,5,0.0001,1348,80.0
249,5,0.0001,1363,90.0
250,5,0.0001,1367,100.0
251,5,0.0001,1401,110.0
252,5,0.0001,1366,120.0
253,5,0.0001,1393,130.0
254,5,0.0001,1367,140.0
255,5,0.0001,1385,150.0
256,5,0.0005,908,0.0
257,5,0.0005,1194,10.0
258,5,0.0005,1430,20.0
259,5,0.0005,1640,30.0
260,5,0.0005,1782,40.0
261,5,0.0005,1943,50.0
262,5,0.0005,2075,60.0
263,5,0.0005,2143,70.0
264,5,0.0005,2255,80.0
265,5,0.0005,2344,90.0
266,5,0.0005,2333,100.0
267,5,0.0005,2383,110.0
268,5,0.0005,2369,120.0
269,5,0.0005,2348,130.0
270,5,0.0005,2330,140.0
271,5,0.0005,2373,150.0
272,5,0.001,1018,0.0
273,5,0.001,1363,10.0
274,5,0.001,1679,20.0
275,5,0.001,1963,30.0
276,5,0.001,2164,40.0
277,5,0.001,2398,50.0
278,5,0.001,2570,60.0
279,5,0.001,2710,70.0
280,5,0.001,2853,80.0
281,5,0.001,2969,90.0
282,5,0.001,3004,100.0
283,5,0.001,3020,110.0
284,5,0.001,3015,120.0
285,5,0.001,3002,130.0
286,5,0.001,2997,140.0
287,5,0.001,3024,150.0
288,6,0.0001,639,0.0
289,6,0.0001,826,10.0
290,6,0.0001,951,20.0
291,6,0.0001,1036,30.0
292,6,0.0001,1115,40.0
293,6,0.0001,1180,50.0
294,6,0.0001,1256,60.0
295,6,0.0001,1301,70.0
296,6,0.0001,1318,80.0
297,6,0.0001,1337,90.0
298,6,0.0001,1355,100.0
299,6,0.0001,1341,110.0
300,6,0.0001,1343,120.0
301,6,0.0001,1329,130.0
302,6,0.0001,1343,140.0
303,6,0.0001,1364,150.0
304,6,0.0005,866,0.0
305,6,0.0005,1183,10.0
306,6,0.0005,1411,20.0
307,6,0.0005,1610,30.0
308,6,0.0005,1800,40.0
309,6,0.0005,1967,50.0
310,6,0.0005,2096,60.0
311,6,0.0005,2202,70.0
312,6,0.0005,2253,80.0
313,6,0.0005,2309,90.0
314,6,0.0005,2347,100.0
315,6,0.0005,2309,110.0
316,6,0.0005,2341,120.0
317,6,0.0005,2363,130.0
318,6,0.0005,2357,140.0
319,6,0.0005,2387,150.0
320,6,0.001,966,0.0
